id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1.1135846625763891e+18,https://www.nocarz.pl/rooms/1113584662576389151,,2025-03-03,city scrape,Stylish 4P Houseboat Apartment with Terrace & A/C,"Welcome aboard our brand new houseboat apartment, where modern comfort meets the tranquility of waterfront living! <br /><br />Nestled along the shimmering waters, this charming retreat promises a unique getaway experience like no other.<br /><br />Whether you're seeking a romantic escape or a peaceful retreat with loved ones, our houseboat apartment provides the perfect blend of luxury and serenity for an unforgettable stay. <br /><br />Come experience the magic of waterfront living with us!<br /><br />Please note that there is AC!","Welcome to the charming neighborhood IJsbaanpad and the iconic Olympic Stadium in Amsterdam – a delightful blend of tranquility and convenience, ensuring an unforgettable stay in the heart of this vibrant city.<br /><br />Nestled amidst leafy streets and picturesque canals, this neighborhood offers a peaceful retreat away from the hustle and bustle of the city center. Take leisurely strolls along the tranquil waterways or explore the nearby parks, where lush greenery provides a serene backdrop for relaxation and rejuvenation.<br /><br />For sports enthusiasts and history buffs alike, the proximity to the historic Olympic Stadium is a true highlight. Immerse yourself in the rich sporting heritage of Amsterdam as you discover the iconic venue that hosted the 1928 Summer Olympics. <br /><br />Whether you're attending a sporting event, exploring the stadium's museum, or simply admiring its striking architecture, the Olympic Stadium is sure to leave a lasting impression.<br /><br />Despite ",,265253303.0,https://www.nocarz.pl/users/show/265253303,,2019-05-30,,"Hi there! I'm Jeroen, a 54-year-old interior designer and builder with over 36 years of experience. I specialize in custom-built renovations of homes and hotel rooms, creating beautiful and functional spaces.

I live in Amsterdam on a houseboat with my wife, and I love wildlife photography, traveling, food, hiking, woodcraft, and motorcycling,

Looking forward to connecting with you!

Enjoy Life.",within an hour,100%,96%,t,https://a0.muscache.com/im/pictures/user/e9d66ece-c8aa-40a2-bb96-11fe29066cc6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e9d66ece-c8aa-40a2-bb96-11fe29066cc6.jpg?aki_policy=profile_x_medium,,,,"['email', 'phone', 'work_email']",t,t,"Amsterdam, Noord-Holland, Netherlands",Zuid,,52.33831206368122,4.846713826911928,Private room,Private room,4.0,1.0,1 private bath,1.0,2.0,"[""Heating - split type ductless system"", ""Private entrance"", ""Exterior security cameras on property"", ""Private living room"", ""Coffee maker: Nespresso"", ""Paid street parking off premises"", ""Long term stays allowed"", ""Hangers"", ""Laundromat nearby"", ""Hot water kettle"", ""Bed linens"", ""Fire extinguisher"", ""Lockbox"", ""Hot water"", ""Wifi"", ""Waterfront"", ""Microwave"", ""Self check-in"", ""Coffee"", ""Outdoor furniture"", ""Hair dryer"", ""Private patio or balcony"", ""Refrigerator"", ""Dedicated workspace"", ""Smoke alarm"", ""Cleaning products"", ""Central air conditioning"", ""Carbon monoxide alarm"", ""Room-darkening shades"", ""Essentials"", ""Dining table"", ""Kitchenette"", ""Dishes and silverware""]",,3.0,365.0,2.0,3.0,365.0,365.0,3.0,365.0,,t,,,34.0,,,44.0,44.0,,231.0,38.0,,33405.0,2024-03-30,2025-02-21,,4.91,4.98,5.0,5.0,4.7,4.77,0363 5EF0 90BE 9D3D A62D,t,1.0,0.0,1.0,0.0,3.89
21662869.0,https://www.nocarz.pl/rooms/21662869,20250302144653.0,2025-03-02,previous scrape,Bright Apartment close to City Center,"This newly renovated house (2023) is located in the lively and charming Amsterdam-West. In Amsterdam-West you will experience the real 'Amsterdam vibe', with old bars/cafe's, little shops and locals. Public transportation is excellent, several the tram-lines stops in front of the door will take you through the entire city. Within 10 minutes you will be in the center, e.g. Leidseplein, Museums, Dam, Spui, Central Station, Canals and Anne Frank house. There is a supermarket in front of the house.",,https://a0.muscache.com/pictures/miso/Hosting-21662869/original/49857a8d-0325-426d-97c5-8623cd6e213d.jpeg,129467548.0,,,2017-05-08,Netherlands,,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/3867f9f0-83ed-448e-939a-96de52b4908a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3867f9f0-83ed-448e-939a-96de52b4908a.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",,,"Amsterdam, Noord-Holland, Netherlands",De Baarsjes - Oud-West,,,4.85,Entire rental unit,,4.0,,1.5 baths,2.0,,"[""Private entrance"", ""Coffee maker"", ""Kitchen"", ""Shampoo"", ""Heating"", ""Bed linens"", ""Elevator"", ""Cooking basics"", ""Dishwasher"", ""Stove"", ""Washer"", ""Hot water"", ""Wifi"", ""EV charger"", ""Iron"", ""Hair dryer"", ""Refrigerator"", ""Dedicated workspace"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Essentials"", ""Oven"", ""Dishes and silverware""]",$705.00,2.0,10.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,0.0,0.0,0.0,,2025-03-02,43.0,7.0,0.0,0.0,7.0,55.0,,2018-01-02,2025-01-04,,,4.74,4.91,4.98,4.86,4.51,0363 05BB D17A 5B07 DFCA,f,,1.0,0.0,0.0,
4736237.0,https://www.nocarz.pl/rooms/4736237,20250302144653.0,2025-03-03,previous scrape,Cosy and Bright Apartment,Cosy and bright two bedroom apartment with queen beds ideal for 3-4 guests located 10-15 minutes away from city centre and the main squares Leidseplein and Rembrantplein.<br /><br />Fully furnished with pretty much all bathroom and kitchen amenities,"Dappermarkt is one of the country’s oldest - and best - outdoor markets. It forms the multicultural heart of the neighbourhood along with such major arteries as Javastraat, which once only provided every manner of global grocery but is now beginning to feature more upscale cafes and terraces. One of the city’s largest general hospitals, OLVG, is also located here. Two stellar city parks, Oosterpark and Flevopark, provide quick escape from the relatively busy streets. Besides many cheap ethnic eateries and supermarkets, the area is attracting much more higher-end cafes and restaurants who are often re-inventing many of the area’s industrial monuments. On sunny days, the parks and terraces are filled with nice people.",https://a0.muscache.com/pictures/f0a17b89-c102-4698-a694-ab1282471e83.jpg,4289713.0,https://www.nocarz.pl/users/show/4289713,Jelle,2012-11-30,,"I'm Jelle from Amsterdam.

In my free time I like travelling, sports, playing guitar, meeting new people, eating, yoga, and hanging out with Friends.

I easily get along with new people and speak fluent English and Dutch as well as moderate Spanish.

Iamb&b is taking care of my apartment when I am gone! ",,,0%,f,https://a0.muscache.com/im/pictures/user/a9c99e44-e336-4a95-b802-7f0094d26cad.jpg?aki_policy=profile_small,,,1.0,1.0,"['email', 'phone']",t,,"Amsterdam, Noord-Holland, Netherlands",Oostelijk Havengebied - Indische Buurt,,52.36544,4.93467,Entire rental unit,Entire home/apt,,,1 bath,,,,$360.00,2.0,1125.0,,2.0,1125.0,1125.0,2.0,1125.0,,t,0.0,0.0,0.0,0.0,,49.0,0.0,0.0,0.0,,0.0,,2015-08-09,2023-09-04,4.49,,4.04,4.73,4.78,4.55,4.39,,f,1.0,1.0,0.0,0.0,
1.2744651353273126e+18,https://www.nocarz.pl/rooms/1274465135327312722,,2025-03-03,city scrape,Canalfront Chic in City Heart,"Tucked beside a tranquil Amsterdam canal, my property promises a one-of-a-kind stay. With modern, stylish interior, it's a space where elegance meets warmth. Conveniently located, you can easily wander to nearby cafes and attractions for a taste of local life. Whether you seek a romantic getaway or solo exploration, our retreat ensures a memorable Amsterdam experience. Can't wait to welcome you and offer you an unforgettable stay!",,https://a0.muscache.com/pictures/miso/Hosting-1274465135327312722/original/9ecbcbe3-df97-433a-acd3-11a34f199141.jpeg,,https://www.nocarz.pl/users/show/382641511,Lida,2021-01-02,,,within an hour,100%,83%,f,https://a0.muscache.com/im/pictures/user/User/original/b34f244c-148b-411b-a4ac-b38a39ec48a9.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/b34f244c-148b-411b-a4ac-b38a39ec48a9.jpeg?aki_policy=profile_x_medium,,2.0,2.0,"['email', 'phone']",t,t,,Centrum-Oost,,52.359979,4.8952309,,Private room,2.0,1.0,,1.0,1.0,,$470.00,1.0,365.0,,,365.0,,2.7,365.0,,t,5.0,31.0,61.0,151.0,,7.0,7.0,2.0,151.0,,,6545.0,2024-11-18,2025-02-14,4.43,4.71,,4.71,,5.0,4.14,0363 AF21 C76C F098 1978,f,2.0,0.0,2.0,0.0,1.98
,https://www.nocarz.pl/rooms/744073674083100363,20250302144653.0,2025-03-03,city scrape,Appartement met zonnige tuin vlakbij Westerpark.,"Beautiful Amsterdam apartment of 55m² with spacious sunny garden.  Centrally located, close to bus,  supermarkets, tram, park and bars. <br /><br />1 bedroom with double bed. <br />Wifi, bathroom with bathtub, living room with TV, PlayStation 4, music system and kitchen.",,https://a0.muscache.com/pictures/cd1342dd-ff87-4f8c-a2b6-81b1987eb97f.jpg,199147584.0,https://www.nocarz.pl/users/show/199147584,,2018-07-01,"Amsterdam, Netherlands",,,,,,,https://a0.muscache.com/im/pictures/user/47285ff7-53b2-4271-a6be-9a2ea50727c3.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,,,Bos en Lommer,,52.3831028,4.8523546,Entire condo,Entire home/apt,,,1 bath,,,"[""Private entrance"", ""Body soap"", ""Private backyard \u2013 Fully fenced"", ""Freezer"", ""Wine glasses"", ""Bathtub"", ""Coffee maker"", ""Central heating"", ""Kitchen"", ""Grundig  sound system with aux"", ""Hangers"", ""Arcade games"", ""Garden view"", ""Hot water kettle"", ""Bed linens"", ""Gas stove"", ""Game console: PS4"", ""Cooking basics"", ""Dishwasher"", ""Washer"", ""Hot water"", ""Wifi"", ""Host greets you"", ""Single level home"", ""Iron"", ""Coffee"", ""Outdoor furniture"", ""Hair dryer"", ""Board games"", ""Refrigerator"", ""Record player"", ""Smoke alarm"", ""Cleaning products"", ""TV"", ""Room-darkening shades"", ""Pets allowed"", ""Essentials"", ""Extra pillows and blankets"", ""Drying rack for clothing"", ""Blender"", ""Dining table"", ""Oven"", ""Dishes and silverware""]",$305.00,2.0,20.0,2.0,3.0,20.0,20.0,2.4,20.0,,,0.0,1.0,4.0,,2025-03-03,3.0,,0.0,4.0,2.0,16.0,3232.0,2023-08-09,2024-07-07,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0363 203D 91B9 FAD7 6DDF,f,1.0,1.0,,0.0,0.16
6.411939091390004e+17,https://www.nocarz.pl/rooms/641193909139000503,20250302144653.0,2025-03-03,previous scrape,,"This light appartment is full of design and located in Amsterdam Oost.  The area is full of cool bars, restaurants and concept stores. There are multiple bus and tram connections to Central Station or other parts of the city or go by bike! The appartement has 2 bedrooms.<br /><br />Love to welcome you!<br /><br />*UPDATE* <br />A bath mat is included and tfrom 1st of july 2023 it is equipped with access to the fiber optic network for high-speed internet.",,https://a0.muscache.com/pictures/miso/Hosting-641193909139000503/original/a1e50f4f-4256-4d0b-a3a9-e978c7a8b57a.jpeg,58027511.0,https://www.nocarz.pl/users/show/58027511,,2016-02-09,"Amsterdam, Netherlands","Working and living in Amsterdam, enjoy visiting places all over the world",,,100%,f,https://a0.muscache.com/im/pictures/user/c04d26de-0018-43a7-b219-e5021ce6da02.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c04d26de-0018-43a7-b219-e5021ce6da02.jpg?aki_policy=profile_x_medium,,,1.0,,t,t,,,,52.36553,4.9374,Entire condo,Entire home/apt,2.0,,1 bath,1.0,,"[""Private entrance"", ""Freezer"", ""Wine glasses"", ""Coffee maker: Nespresso"", ""Conditioner"", ""Central heating"", ""Shampoo"", ""Kitchen"", ""Paid parking on premises"", ""Hangers"", ""Laundromat nearby"", ""Free dryer \u2013 In unit"", ""Hot water kettle"", ""Bed linens"", ""Fire extinguisher"", ""Cooking basics"", ""Dishwasher"", ""Washer"", ""Hot water"", ""Books and reading material"", ""Wifi"", ""Baking sheet"", ""EV charger"", ""Microwave"", ""Shower gel"", ""Portable fans"", ""Iron"", ""Coffee"", ""Outdoor furniture"", ""Hair dryer"", ""TV with Chromecast"", ""Private patio or balcony"", ""Board games"", ""Refrigerator"", ""Ethernet connection"", ""Smoke alarm"", ""Cleaning products"", ""Bluetooth sound system"", ""Pets allowed"", ""Essentials"", ""Drying rack for clothing"", ""Blender"", ""Dining table"", ""Clothing storage: closet"", ""Oven"", ""Dishes and silverware""]",$275.00,2.0,5.0,2.0,2.0,5.0,5.0,2.0,5.0,,,,0.0,0.0,0.0,2025-03-03,15.0,5.0,,0.0,5.0,39.0,,2022-07-10,2024-08-06,5.0,5.0,5.0,4.93,5.0,,4.87,0363 9CA5 B5E1 3F79 DE3F,f,1.0,1.0,0.0,,0.46
1.1405187320382088e+18,https://www.nocarz.pl/rooms/1140518732038208820,20250302144653.0,2025-03-02,city scrape,Storehouse Studio Boutique III,"Welcome to our brand new stylish B&Bs located in the well-known Amsterdam district 'de Jordaan'. We offer two comfortable studios, carefully designed with attention to detail and luxury. Enjoy modern amenities in a historic setting for a relaxing and enjoyable stay.<br /><br />With a convenient location just a fifteen minute walk from Central Station and a 10-minute walk from attractions like the Anne Frank house, the Westerkerk and Dam Square, our B&B is easily accessible.",,https://a0.muscache.com/pictures/miso/Hosting-1140518732038208820/original/5b78ba22-3770-4b48-b9c0-7586bc7d368b.jpeg,43614335.0,,Lisette,2015-09-07,"Amsterdam, Netherlands","Wij zijn Lisette en Wiebe. Al meer dan 15 jaar woonachtig in Amsterdam, dus kennen de stad van binnen en van buiten. We houden van lekker eten en drinken, dus als je tips wilt dan ben je meer dan welkom.",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/User-43614335/original/f8ad9266-5290-457f-a73f-0db409bf9c48.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-43614335/original/f8ad9266-5290-457f-a73f-0db409bf9c48.jpeg?aki_policy=profile_x_medium,,3.0,,"['email', 'phone']",t,,,Centrum-West,,52.38330996159561,4.885251521257455,Private room in bed and breakfast,,4.0,2.0,,2.0,2.0,"[""Private entrance"", ""Body soap"", ""Clothing storage: wardrobe"", ""Freezer"", ""Wine glasses"", ""Coffee maker: Nespresso"", ""Central heating"", ""Shampoo"", ""Hangers"", ""Laundromat nearby"", ""Smart lock"", ""Hot water kettle"", ""Luggage dropoff allowed"", ""Bed linens"", ""Fire extinguisher"", ""Elevator"", ""Dishwasher"", ""Hot water"", ""Wifi"", ""Shower gel"", ""Single level home"", ""Self check-in"", ""Coffee"", ""Hair dryer"", ""Refrigerator"", ""Cleaning available during stay"", ""Smoke alarm"", ""TV"", ""Dining table"", ""Dishes and silverware""]",$665.00,,365.0,2.0,2.0,365.0,1125.0,2.0,,,t,1.0,3.0,10.0,257.0,2025-03-02,7.0,7.0,0.0,202.0,7.0,55.0,24970.0,2024-06-09,2024-12-29,4.71,,,4.86,,4.86,4.43,0363D5BF474BA5661E2F,,3.0,0.0,3.0,0.0,0.79
1.0954675636034807e+18,https://www.nocarz.pl/rooms/1095467563603480670,20250302144653.0,2025-03-03,previous scrape,Charming hideaway for two near museums,"Amsterdam has some of the world’s greatest museums, and Max Brown Museum Square has them right on its doorstep. The hotel is located within a neighbourhood full of vibrant bars, restaurants and cafés, so your nights here can be as exciting as your days. If you ever want a local recommendation, just ask a member of the Max Brown team. Space is tight in this historic buildings so be aware the rooms may not offer a lot of extra space – but plenty of local charm. 12.5%City tax not incl.",,https://a0.muscache.com/pictures/prohost-api/Hosting-1095467563603480670/original/c5387f5e-5ce0-489c-a585-5b498382b64d.jpeg,563016452.0,https://www.nocarz.pl/users/show/563016452,Max Brown Hotel Museum Square,2024-02-20,,"Amsterdam has some of the world’s greatest museums, and Max Brown Museum Square has them right on its doorstep. The hotel is located within a neighbourhood full of vibrant bars, restaurants and cafés, so your nights here can be as exciting as your days.  Space is tight in this historic buildings so be aware the rooms may not offer a lot of extra space – but plenty of local charm. City tax not incl.",within an hour,100%,100%,,,https://a0.muscache.com/im/pictures/user/4bb9393c-ec25-4750-9f30-3475535ecc54.jpg?aki_policy=profile_x_medium,,6.0,6.0,['phone'],t,t,,Zuid,,52.3601,4.88193,Room in hotel,Private room,2.0,,1 private bath,,,,,1.0,365.0,1.0,1.0,731.0,731.0,1.0,731.0,,,0.0,0.0,0.0,0.0,2025-03-03,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,Exempt,t,6.0,0.0,6.0,0.0,
,https://www.nocarz.pl/rooms/51760555,20250302144653.0,2025-03-03,city scrape,Amsterdam city garden,"Lovely groundfloor apartment for plant lovers in Amsterdam west. Close to center,  foodhallen, tram, supermarkets, restaurants, shops and beautiful parks. <br />If you like plants, you will love this place.",,,,,Samuel,2013-12-27,,"Hi, my name is Samuel, i work like a dancer in a dance company . Because of my job i travel a lot, but i expend always my holidays in Canary island, my place to stop my daily live and go to paradise.  I really love the beach and is what i really look for on my holidays. I  also  like everything about arts like going to the theater, cinema, museum, books but i also enjoy a glass of wine with a good conversation and  meeting new people and new places. 
",within a few hours,100%,,f,,https://a0.muscache.com/im/pictures/user/User-10842786/original/14b98cdb-ac75-4f03-853b-842cb4b9395e.jpeg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,,De Baarsjes - Oud-West,,52.36655,4.86362,Entire rental unit,Entire home/apt,2.0,,1 bath,1.0,1.0,,$365.00,6.0,,3.0,6.0,365.0,365.0,6.0,,,t,0.0,,8.0,,2025-03-03,17.0,3.0,0.0,24.0,2.0,36.0,6840.0,2021-09-19,,4.88,4.76,,5.0,5.0,4.88,4.82,0363 1298 3686 6850 3AC8,f,1.0,1.0,,0.0,0.4
38839129.0,https://www.nocarz.pl/rooms/38839129,20250302144653.0,,,Cosy family house in quiet Amsterdam Noord,"We live in a spacious house, in a quiet family area in Amsterdam Noord. Our home has a relaxed and spacious living room and a fully equipped kitchen with all you will need to enjoy an evening at home. In the kitchen, the door opens to our shady and green garden.<br />On the 1st floor you will find our bathroom, and 3 bedrooms: one with a double bed, and two toddler rooms with children beds. Our bathroom has a shower, a bath and toilet. On the second floor there is another bedroom with a double bed.",Our house lies in between the ‘Vliegenbos’ (forrest) and ‘Noorderpark’; both great places for a walk or morningrun. Don’t forget to stop by at ‘Pompet’ in the Noorderpark for coffee/lunch or dinner. <br /><br />Within 5 minutes you can walk to the lovely ‘Nieuwendammerdijk’ where you will enjoy a friendly village vibe & beautiful characteristic dike houses. Take a coffee or lunchbreak at ‘café ‘t Sluisje’ or cafe ‘Liever Hier’.,https://a0.muscache.com/pictures/860a8e7a-e41c-4b6c-93ba-ef7d8eb05b48.jpg,9191210.0,https://www.nocarz.pl/users/show/9191210,Steven,,,. . . ,within a day,100%,60%,f,https://a0.muscache.com/im/pictures/user/38735077-3b33-4c60-8243-2f069cb7fe6b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/38735077-3b33-4c60-8243-2f069cb7fe6b.jpg?aki_policy=profile_x_medium,Buikslotermeer,1.0,3.0,"['email', 'phone']",t,t,,Oud-Noord,,52.39294,4.933,Entire home,Entire home/apt,4.0,,1.5 baths,3.0,,,$550.00,,25.0,4.0,5.0,25.0,25.0,,25.0,,t,0.0,3.0,,3.0,2025-03-03,3.0,3.0,0.0,3.0,3.0,30.0,,2024-05-07,2024-08-11,5.0,,5.0,,5.0,5.0,5.0,,,1.0,1.0,0.0,0.0,
