listing_id,id,date,reviewer_id,comments,numerical_review
2818.0,24925.0,,33284.0,"Daniel was an exeptional host!! We only had a short stay in Amsterdam but Daniel was extremely helpful as he had all the local transport timetables mapped out and ready for us to use. His place was very clean and comfortable. Daniel was incredibly accommodating on our last day in Amsterdam. Our flight wasn't till the evening and he was kind enough to let us leave our luggage for the day and return to pick them up before our flight. TOTALLY, TOTALLY, TOTALLY recommend Daniel's place next time you visit Amsterdam.",5.0
44391.0,545924708.0,2019-10-13,213182574.0,"Great place, quiet and close to everything",
49552.0,6865962.0,,5451857.0,,5.0
49552.0,9328929.0,,,"Wonderful place, walking distance to the Central Station. Joanna was a wonderful host and this is indeed a beautiful apartment!",5.0
,11594477.0,2014-04-08,13159727.0,Habitación muy agradable y confortable situada en un lugar muy céntrico. Ideal si te gusta la vida nocturna. ,4.0
29051.0,58998388.0,2016-01-05,39966802.0,The location is very good ! And Edwin is a very nice person . Helped a lot !!! Hope come back again ,
29051.0,61514109.0,2016-02-05,43735811.0,edwin是一个非常幽默的人，同时他也很热情，很周到。提供的房间不大，但是很温馨，很好，非常喜欢,2.0
49552.0,23741857.0,2014-12-09,11121786.0,"We stayed at Joanna and MP's for a long weekend to celebrate my birthday and it was a brilliant weekend.  I have been to Amsterdam many times and so can say quite honestly this is a fabulous, clean, well decorated and spacious apartment with everything you should possibly need in a great area for shopping, eating and drinking. The flat is also extremely close to the train station and so very easy to get to by foot.
<br/>Joanna was very welcoming and kindly allowed us a flexible check in and we were allowed to leave our bags when we checked out to collect later on in the day.  Joanna is also full of ideas of places to go should you need any direction - especially places to eat!  
<br/>Amsterdam is a wonderful city and staying here only enhances a wonderful experience, I would definitely recommend staying here - just be warned yes the stairs are steep but are definitely manageable just be careful with your luggage and you shouldn't have any problems at all. 
<br/>Thanks Joanna we will definitely be back - the only problem will be finding a time they aren't booked up!",5.0
,98866202.0,2016-09-02,92147468.0,,5.0
49552.0,109057841.0,,55787523.0,We had a wonderful stay - the location and apartment were so cool.  So many great restaurants within walking distance and a bike rental just down the street.  Very easy communication and check where we received great recommendations (loved the recommended cafe for apple pie).   Kitchen had everything we needed to cook when we wanted to eat in.  The apartment was very roomy and comfortable for everyone in the family.  Thank you for a great stay! ,5.0
29051.0,182740097.0,2017-08-15,115925297.0,Edwin fue muy amable. La limpieza del lugar para destacar.,2.0
49552.0,6.614052163832559e+17,,68603946.0,The apartment is a gem! The location is ideal and the space is well cared for and comfortable. Joanna is a wonderfully helpful and responsive host.  We definitely hope to return!,5.0
49552.0,,2022-07-21,274071286.0,"The apartment was beautiful and the location perfect for visiting all of the local attractions in Amsterdam. We arrived ahead of  schedule and Joanna kindly let us check in earlier. The info and tips about restaurants, cafes and boat trips was really helpful. Nothing felt too much even down to helping us with our very heavy suitcases when we left the apartment!  We would definitely stay here again. Thanks, Louise, Chris and Izzy.",
49552.0,1.0658635827387483e+18,2024-01-10,63522588.0,Joanna & MP were the most amazing hosts! Their property is ever more beautiful in-person. If you are traveling to Amsterdam with toddlers or infants - Joanna takes extra special care to have all the accessories and toys ready for you. It was just a surreal experience and it is quite clear why they are super host with one the most highly reviewed properties in Amsterdam. We hope to stay with them again one day.,5.0
29051.0,544053069.0,2019-10-09,76241469.0,"Edwin is a very friendly host that was very clean and easy to access all types of event around his place. Great place, clean  room and restrooms",
29051.0,601326735.0,2020-02-03,114394092.0,,
50263.0,1418099.0,2012-06-05,1833142.0,,
,5.5630576054711456e+17,2022-02-06,177333125.0,"Great location, great host, the street can be a little loud at night, but no problem if you bring good earplugs. I had no issues.",5.0
50263.0,19212106.0,2014-09-08,13061538.0,,5.0
29051.0,7.041566442530592e+17,2022-08-29,19847842.0,,5.0
29051.0,8.005153496579026e+17,2023-01-09,491585310.0,Es una acomodacion estratégica muy cerca de todo!,2.0
29051.0,8.433211192183529e+17,2023-03-09,48979261.0,Central but noisy.,2.0
29051.0,8.556574401910586e+17,2023-03-26,454821612.0,,5.0
189754.0,,2019-05-05,,"El mejor nocarz en el que he estado, la mejor zona, los mejores host, el más bonito! Casi no salimos a recorrer Ámsterdam por lo bonito que estaba!",1.0
189754.0,611807921.0,2020-02-28,221336185.0,,5.0
,49790553.0,,41738461.0,Daan was a great host and even though we were late in arriving he took time to explain everything and give lots of advise. The apartment is amazing and has all you need and more. Convenient to get to the centre of Amsterdam as the tram system is only a few minutes walk. Would reckoned to anyone visiting.,5.0
189754.0,1.0434036911151667e+18,2023-12-10,270747056.0,Wir haben unseren zweiten Aufenthalt in diesem zentralgelegenen nocarz sehr genossen,2.0
,1.2600331908264453e+18,2024-10-04,175914390.0,Very nice accomodation close to everything,4.0
,1.3079784832724155e+18,2024-12-09,,,4.0
50523.0,49105446.0,2015-10-01,12077712.0,"The location is unbeatable!  Amsterdam is a great city for walking and this location makes it even easier.  We walked most of the time during our 4-night stay as most sights/restaurants were within 10-15 minute walk away.  The apartment itself is as shown in the pictures - well appointed and clean.  Hot shower was very nice, good water pressure.  The stairs were a bit narrow but we were fine.  Also as mentioned by other travellers, Raymond brought breakfast every morning - a really nice touch!  Coffee and tea were in room also.  ",5.0
50523.0,51445508.0,,27561182.0,Everything was ok.<br/>When We arrived Raymond wasn't at home but he left the keys in the bar next to the b&b.<br/>The appartment is really nice. You have a nespresso so u can have a hot drink anymoment. <br/>It's really near for the principal atractions.<br/>The breakfast was amazing! <br/>Highly recomended! <br/>Hope to come again ,5.0
2818.0,,2017-07-25,36507467.0,非常好！！！离火车站不远的坐22路公交车可以直达！而且房子超级干净 Daniel人也很棒 我们去羊角村一天他会让我们把行李放在家里寄存一天！ 很安全 有报警器。 总之 去阿姆斯特丹就住这吧,2.0
193038.0,5804829.0,2013-07-17,4706592.0,"My husband and I had a really lovely stay at Johan's apartment. It looks just like in the photos. Both Johan and his assistant Erica was very nice, warm and welcoming. One more nice thing about this place is the neighborhood it's in. There are plenty nice cafes, restaurant, bars and boutiques a few minutes walk away from the apartment. I would definitely stay here again when I'm back in Amsterdam. ",
50523.0,485732854.0,2019-07-11,,"Location-location-location !!! It is absolutely great . At the heart of the “9 streets” district ( shopping and restaurants) walking distance from trams, downtown, Frank House , canals, cafes, Spui area) etc. <br/>Raymond was a great host and very accommodating. Would stay there again !",5.0
50523.0,6.1932997086155e+17,,393703343.0,,2.0
,6.925797516760452e+17,2022-08-13,49536680.0,"Le séjour chez Raymond s’est très bien déroulé, idéalement situé et à proximité à pieds de tous les lieux d’intérêts d’Amsterdam. <br/>Grand lit, mou, une grande douche, des rideaux occultants, un ventilateur, wc séparés. Appartement très sympa et avec une vue sur une jolie rue",2.0
,7452742.0,2013-09-21,6005030.0,"Johan was a delightful host, always helpful and friendly. His apartment is lovely and clean, well positioned and equipped with a fridge and coffee machine. It was lovely to stay there and we would highly recommend it.",
193038.0,16071250.0,2014-07-22,6005030.0,"We were welcomed very warmly by Johan and really enjoyed staying in this studio apartment last year, to the point that we returned again! It is spotlessly clean and well located close to the museums, Dam square and central station. It is a few moments walk to the canals and there are numerous shops and restaurants in the surrounding streets, as well as the adjacent trams. Johan is a very helpful and interesting host, who will ensure that everything is just right. You will not be disappointed!",5.0
53921.0,9.172894133253247e+17,2023-06-19,514260124.0,非常友好，房屋舒適，用具也齊全，非常推薦：）,
193038.0,,2015-11-14,1182373.0,"Stunning apartment, brilliant location (we eat locally each night of our 4 day stay) and our host could not have been more accommodating. We'll be back.",4.0
2818.0,6.120595855471955e+17,2022-04-24,61339287.0,,5.0
55868.0,1214515.0,2012-05-02,,,5.0
55868.0,4163502.0,,681393.0,"Beautiful apartment, great location.  We had a short visit with our 2-year old son and Cornelie's apartment was wonderful for him and at the same time a lovely place for us to enjoy.  Cornelie was very welcoming and we felt at home right away.  Perfect nocarz experience, highly recommended.  ",5.0
