listing_id,id,date,reviewer_id,comments,numerical_review
270611,466402539939693692,2021-10-05,419320465,"I had the cancel reservation second day, when i booked the place the host was responding my messages normally but after the cancellation he texted back days after. About the area is only information that it’s central located, but it’s totally unsafe and dangerous especially for female travelers, it’s not cool and dishonest that even never mentioned before! Use the taxis when you want to go outside is not a solution. About cleaning, the coffee machine is never washed before and generally average. I do not recommend this place.",0
49489,141859021,2017-04-05,102000849,fantastic！,2
133835,507017476939254146,2021-11-30,90800910,"I've stayed here for 2 months. Elena's apartment is great, and is in the best location in Athens. I've been in Athens 4 times, and I've always stayed in Kolonaki, and this apartment is right next to the center of the area, yet it's in a quiet part of it. The apartment itself is spacious enough, clean and has all the things you might need. I also appreciate Elena's communication: the dryer was broken, so she got a new one in just a few days. Thank you for a great stay!",5
306234,60958472,2016-01-30,13334599,good location！ The view in the room is great！ So comfortable to live.,4
306234,83231349,2016-07-01,1767459,"Modern, stylish and the view is to die for. It's rare that we find a place that makes us feel at home as much as Aris' Luxury Suite. The lift is small but hey, this is Athens ;)",2
306234,91795684,2016-08-06,5375647,"As senior citizens arriving from New York, we were a little apprehensive about what to expect. However from start to finish we had a splendid experience. The taxi was arranged by Aris with cheerful Thomas the driver, and as we arrived at the building we were received graciously by Ilaria who took us upstairs and showed us around the apartment. In the evening we were delighted to meet Panos, who works with Aris, who dropped by to chat and ask us to let him or Aris know if there was anything we needed. This gave us a tremendous sense of confidence that our host will be there in case we needed any help.  The apartment was smart and elegant and had large glass windows allowing us to have a magnificent view of the Acropolis and Parthenon at night. It is located at a walking distance to all the famous sights of Athens, we even went shopping to the central market.<br/>Communication with Arris was excellent. <br/>We strongly recommend stay at this apartment. <br/>Srini and Nalini",5
306234,103579458,2016-09-23,16639428,"Beautiful, clean and comfortable spot in the heart of the city. Couldn't ask for a better place. Within walking distance to everything -- we didn't take the train (which is also very close)  once and walked all around the city from this central location. In a very busy area but on a hidden side street and high up enough to be very quiet and peaceful. Better than pictures. Perfect spot!",5
154243,14154385,2014-06-13,14554284,"Yagos was extremely helpful and got back to me right away whenever we had any questions. It was really easy to get around the city from this location. The neighborhood was a little sketchy but from what I saw of the city, a lot of it is the same so you should just be aware of your surroundings. I thought it was a great place to stay in Athens.",5
306234,142414208,2017-04-08,106511282,"Stayed at Aris' for 2 nights, what an amazing place!  Central location, beautiful apartment with all the amenities with a breathtaking views of Athens.<br/>Check in was effortless and Aris was accommodative to store our luggage after checkout until our late flight to give us another afternoon to explore Athens.<br/>Highly recommended, thanks!",5
306234,145787490,2017-04-20,68641387,"We loved our stay at Aris's place! The view was spectacular, the location absolutely perfect (we walked everywhere!), and Aris made check in and check out easy! We appreciated the help in coordinating rides to and from the airport as well! If and when I travel back to Athens, I'll definitely first be checking to see if we can stay here again! ",5
154243,90240019,2016-07-31,17218042,"Ce fut un plaisir de séjourner dans cet appartement spacieux et joliment décoré (sans parler de la terrasse!). L'appartement se situe dans le quartier anarchiste, en plein centre ville. Nous vous le recommandons vivement! Concernant notre hôte, Yagos fut efficace et très sympathique. ",2
154243,121978870,2016-12-20,13238806,"Appartement tres agreable, terrasse magnifique, quartier animé mais appartement tres calme. Nous etions 3 adultes parfaitement à l'aise.",2
