listing_id,base_price,room_type,property_type,accommodates,bedrooms,beds,bathrooms,listing_location,host_location,latitude,longitude,minimum_nights,maximum_nights,host_is_superhost,amenities_count,number_of_reviews,reviews_per_month,avg_rating,review_count,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
32183809,305.49,Entire home/apt,Entire rental unit,3,1.0,2.0,1.0,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,"Piraeus, Greece",37.96363,23.72223,2,365,1.0,41,183,2.65,5.0,2.0,4.88,4.9,4.92,4.95,4.97,4.86,4.81
1115953561295048971,134.12,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,ΝΕΟΣ ΚΟΣΜΟΣ,,37.96371,23.73092,2,365,0.0,28,4,0.5,,,5.0,5.0,5.0,5.0,5.0,4.75,5.0
940576655743591944,74.51,Entire home/apt,Entire rental unit,2,0.0,1.0,1.0,ΚΥΨΕΛΗ,Greece,38.0024091,23.7371298,3,365,1.0,42,7,0.64,,,3.71,4.14,4.0,4.29,4.14,3.57,3.57
896382222557717376,201.18,Entire home/apt,Entire loft,2,1.0,1.0,1.0,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Greece,37.96405837943749,23.720057533751994,3,30,1.0,52,79,4.2,,,4.94,4.95,4.95,4.94,5.0,4.76,4.77
42900136,268.24,Entire home/apt,Entire rental unit,5,2.0,2.0,1.0,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,"Argos, Greece",37.99111,23.71241,3,1125,0.0,41,7,0.13,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0
35671473,432.16,Entire home/apt,Entire rental unit,6,2.0,3.0,1.5,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,,37.98788,23.73514,3,1125,0.0,38,17,0.26,4.0,1.0,4.82,5.0,4.53,5.0,5.0,4.76,4.88
18029476,260.78,Entire home/apt,Entire condo,5,2.0,4.0,1.0,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,,37.99943,23.72058,3,1125,0.0,31,6,0.22,,,5.0,5.0,5.0,5.0,5.0,4.67,4.83
1285436344960679673,193.73,Entire home/apt,Entire rental unit,2,1.0,2.0,1.0,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,,37.9627576,23.7221034,1,365,1.0,28,0,,,,,,,,,,
33130357,476.86,Hotel room,Room in serviced apartment,3,,,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,"Glyfada, Greece",37.97914,23.72331,1,89,1.0,25,4,0.06,,,4.75,4.75,5.0,5.0,5.0,5.0,4.75
893946480152179402,134.12,Private room,Room in hotel,2,1.0,,,ΘΗΣΕΙΟ,"Athens, Greece",37.9743147,23.7166672,1,365,,38,0,,,,,,,,,,
1312932975469949320,119.22,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,ΑΜΠΕΛΟΚΗΠΟΙ,"London, United Kingdom",37.993155803106994,23.76477624541191,5,730,0.0,29,0,,,,,,,,,,
901402781741081235,134.12,Entire home/apt,Entire rental unit,2,1.0,1.0,1.5,ΝΕΟΣ ΚΟΣΜΟΣ,,37.9583618,23.7227217,2,1125,1.0,29,17,0.95,,,4.94,4.94,4.82,5.0,5.0,4.88,4.94
1140470135750676240,484.31,Entire home/apt,Entire condo,6,3.0,3.0,1.5,ΠΑΓΚΡΑΤΙ,"Athens, Greece",37.9680598,23.7480515,3,60,1.0,34,18,2.37,,,5.0,5.0,4.94,4.94,5.0,4.67,4.89
677570932073618963,96.86,Entire home/apt,Entire condo,2,1.0,1.0,1.0,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,,37.99503,23.7267,2,365,1.0,25,101,3.44,4.0,1.0,4.8,4.86,4.84,4.9,4.9,4.24,4.86
815773023767110266,149.02,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,,37.9861455,23.7392199,1,365,1.0,36,7,0.32,,,5.0,5.0,4.86,5.0,5.0,5.0,4.57
29541101,223.53,Entire home/apt,Entire rental unit,3,1.0,2.0,1.0,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,"Athens, Greece",37.98410034179688,23.739181518554688,2,90,,55,234,3.11,5.0,3.0,4.91,4.94,4.93,4.88,4.95,4.9,4.84
21133739,618.43,Entire home/apt,Entire condo,4,2.0,1.0,1.0,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,"Chalandri, Greece",37.9732,23.73391,1,1125,0.0,25,2,0.02,,,4.5,5.0,5.0,4.5,4.5,5.0,5.0
628058330910993887,312.94,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,,37.97703552246094,23.73078155517578,1,365,1.0,45,224,7.19,4.571428571428571,7.0,4.89,4.93,4.93,4.91,4.96,4.88,4.89
1168980789809048224,268.24,Entire home/apt,Entire rental unit,4,1.0,1.0,1.0,ΝΕΟΣ ΚΟΣΜΟΣ,"Nea Smyrni, Greece",37.9553,23.71534,2,30,0.0,35,5,1.06,,,4.8,5.0,5.0,4.8,4.8,4.6,4.4
26122304,610.98,Entire home/apt,Entire rental unit,4,2.0,2.0,2.0,ΚΟΛΩΝΑΚΙ,"Thessaloniki, Greece",37.97837,23.74178,3,364,0.0,39,45,0.58,,,4.91,4.96,4.91,4.98,4.96,4.96,4.89
