listing_id,base_price,room_type,property_type,accommodates,bedrooms,beds,bathrooms,city,neighbourhood_cleansed,latitude,longitude,minimum_nights,maximum_nights,host_is_superhost,amenities_count,number_of_reviews,reviews_per_month,avg_rating,review_count,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
536197,476.86,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,"Athens, Greece",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97506,23.73068,3,365,1.0,45,33,0.22,,,4.84,4.91,4.91,4.88,4.88,5.0,4.76
571876,469.41,Entire home/apt,Entire rental unit,3,1.0,2.0,1.0,"Athens, Greece",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97538,23.73264,3,730,0.0,42,435,2.92,2.0,2.0,4.77,4.82,4.81,4.95,4.97,4.97,4.8
691025,439.61,Entire home/apt,Entire rental unit,4,2.0,2.0,1.0,"Athens, Greece",ΣΤΑΔΙΟ,37.96615,23.73463,2,10,0.0,48,59,0.4,,,4.77,4.95,4.91,4.96,4.96,4.89,4.82
718941,976.08,Entire home/apt,Entire condo,12,4.0,8.0,3.0,"Chicago, IL",ΠΑΓΚΡΑΤΙ,37.96688,23.75001,3,60,1.0,56,27,0.18,,,4.96,5.0,5.0,4.96,4.96,4.7,4.89
780733,596.08,Entire home/apt,Entire condo,4,3.0,3.0,2.5,"Athens, Greece",ΚΟΛΩΝΑΚΙ,37.9793,23.73782,2,1125,0.0,33,1,0.07,,,5.0,5.0,4.0,5.0,5.0,5.0,5.0
1214643,126.67,Entire home/apt,Entire condo,2,2.0,2.0,1.0,"Athens, Greece",ΑΜΠΕΛΟΚΗΠΟΙ,37.99527,23.76651,1,180,0.0,54,180,1.3,5.0,1.0,4.87,4.9,4.94,4.95,4.93,4.82,4.88
1215055,737.65,Entire home/apt,Entire home,6,2.0,4.0,2.5,"Athens, Greece",ΑΚΡΟΠΟΛΗ,37.97065,23.72931,2,30,1.0,35,289,2.16,5.0,1.0,4.99,4.97,4.99,4.99,5.0,4.98,4.93
1372935,625.88,Entire home/apt,Entire rental unit,4,2.0,3.0,1.0,"Athens, Greece",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97587,23.73311,2,1125,0.0,22,49,0.36,,,4.78,4.79,4.66,4.91,4.9,4.94,4.65
1568065,305.49,Entire home/apt,Entire rental unit,2,1.0,2.0,1.5,"Berne, Switzerland",ΚΟΛΩΝΑΚΙ,37.97708,23.74285,10,365,1.0,37,104,0.81,,,4.92,4.93,4.99,4.96,4.9,5.0,4.88
2219385,633.33,Entire home/apt,Entire condo,6,2.0,3.0,2.0,"Athens, Greece",ΣΤΑΔΙΟ,37.96538,23.74292,3,90,0.0,42,48,0.42,,,4.65,4.62,4.5,4.81,4.79,4.74,4.72
2668122,193.73,Entire home/apt,Entire rental unit,4,1.0,4.0,1.0,"Didimoticho, Greece",ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99268,23.72619,4,1125,1.0,17,23,0.18,,,4.43,4.7,4.74,4.7,4.7,4.26,4.57
2841806,312.94,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,"Geneva, Switzerland",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97472,23.73228,2,60,1.0,31,453,3.5,5.0,3.0,4.85,4.87,4.95,4.9,4.92,4.96,4.81
3150921,260.78,Entire home/apt,Entire rental unit,4,1.0,2.0,1.0,"Athens, Greece",ΘΗΣΕΙΟ,37.97683,23.72293,365,600,0.0,22,107,0.83,,,4.58,4.63,4.75,4.86,4.88,4.75,4.58
3402831,327.84,Entire home/apt,Entire rental unit,4,2.0,3.0,1.0,"Athens, Greece",ΙΛΙΣΙΑ,37.97464,23.74885,1,28,1.0,35,193,1.51,4.0,3.0,4.88,4.9,4.95,4.94,4.92,4.84,4.89
4094400,610.98,Entire home/apt,Entire loft,5,1.0,2.0,1.0,"Paris, France",ΑΚΡΟΠΟΛΗ,37.96487,23.71852,3,60,1.0,65,215,1.72,5.0,2.0,4.92,4.92,4.97,4.98,4.95,4.92,4.9
4119683,275.69,Entire home/apt,Entire condo,4,1.0,3.0,1.0,"Athens, Greece",ΘΗΣΕΙΟ,37.9758,23.71656,2,730,1.0,61,172,1.38,5.0,1.0,4.97,4.96,4.95,4.96,4.96,4.98,4.92
4175883,126.67,Entire home/apt,Entire home,3,1.0,2.0,1.0,"Athens, Greece",ΚΟΛΩΝΟΣ,37.99923,23.7189,3,60,1.0,43,57,0.73,,,4.98,4.96,4.98,5.0,4.96,4.67,4.93
4199872,245.88,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,"Athens, Greece",ΠΑΓΚΡΑΤΙ,37.97312,23.74912,11,1125,0.0,14,114,0.93,,,4.88,4.89,4.85,4.93,4.94,4.8,4.83
5476645,789.8,Entire home/apt,Entire rental unit,5,2.0,3.0,1.0,Greece,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97739,23.7255,5,1125,1.0,35,131,1.1,,,4.94,4.96,4.99,4.96,4.98,4.94,4.93
5854074,186.27,Entire home/apt,Entire condo,3,1.0,1.0,1.0,"Glyfada, Greece",ΓΟΥΔΙ,37.98119,23.75973,4,1125,1.0,38,119,1.04,4.5,2.0,4.85,4.95,4.9,4.96,4.92,4.79,4.84
6423991,245.88,Entire home/apt,Entire home,4,2.0,,,"Attica, Greece",ΝΕΟΣ ΚΟΣΜΟΣ,37.95553,23.7164,2,1125,1.0,52,2,0.02,,,4.5,4.5,4.5,5.0,4.5,4.0,4.5
6468915,312.94,Entire home/apt,Entire rental unit,2,0.0,1.0,1.0,"Geneva, Switzerland",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97857,23.73031,2,60,1.0,26,177,1.53,3.6666666666666665,3.0,4.81,4.88,4.89,4.9,4.95,4.88,4.76
6725282,245.88,Entire home/apt,Entire rental unit,4,1.0,3.0,1.0,"Thessaloniki, Greece",ΑΜΠΕΛΟΚΗΠΟΙ,37.98505,23.75485,2,1125,0.0,25,59,0.51,2.0,2.0,4.66,4.75,4.54,4.95,4.97,4.88,4.59
7209432,163.92,Entire home/apt,Entire rental unit,3,2.0,1.0,1.5,"Athens, Greece",ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98262,23.71893,2,1125,0.0,20,18,0.16,,,4.94,4.94,4.94,4.94,4.94,4.53,4.76
7257713,223.53,Entire home/apt,Entire rental unit,6,2.0,2.0,1.0,"Melissia, Greece",ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.00366,23.72886,3,1125,0.0,36,39,0.34,,,4.28,4.62,4.29,4.81,4.84,4.13,4.49
7353011,119.22,Entire home/apt,Entire condo,2,1.0,1.0,1.0,"Marousi, Greece",ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98131,23.71987,7,730,0.0,35,4,0.19,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0
7417715,163.92,Entire home/apt,Entire rental unit,3,1.0,3.0,1.0,"Athens, Greece",ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98633,23.71871,3,20,0.0,14,32,0.28,,,4.84,4.84,4.81,4.94,4.97,4.53,4.88
7629943,193.73,Entire home/apt,Entire condo,5,1.0,2.0,1.0,"Athens, Greece",ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.00282,23.73032,5,1125,1.0,42,129,1.13,5.0,2.0,4.64,4.73,4.51,4.79,4.79,4.42,4.73
8857122,312.94,Entire home/apt,Entire rental unit,2,0.0,1.0,1.0,"Athens, Greece",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97855,23.72352,3,1125,0.0,22,84,0.75,4.0,1.0,4.62,4.87,4.71,4.87,4.88,4.98,4.78
9718738,365.1,Entire home/apt,Entire loft,3,1.0,1.0,1.0,"Athens, Greece",ΑΚΡΟΠΟΛΗ,37.96397,23.71912,1,30,1.0,46,413,3.76,4.142857142857143,7.0,4.98,4.98,4.99,4.98,4.99,4.87,4.97
9770854,625.88,Entire home/apt,Entire rental unit,4,1.0,2.0,1.0,"Palaio Faliro, Greece",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97992,23.72914,2,90,1.0,27,251,2.39,,,4.85,4.9,4.82,4.96,4.97,4.92,4.81
10374154,111.76,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,"Athens, Greece",ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98729,23.71923,2,1125,0.0,29,213,1.98,5.0,1.0,4.86,4.92,4.93,4.94,4.96,4.56,4.85
10482630,178.82,Entire home/apt,Entire condo,2,1.0,2.0,1.0,,ΕΛΛΗΝΟΡΩΣΩΝ,37.99824,23.77067,5,1125,1.0,37,22,0.26,,,4.95,4.95,5.0,4.95,4.95,4.82,4.68
10543466,633.33,Entire home/apt,Entire rental unit,4,0.0,2.0,1.0,"Athens, Greece",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97694,23.72984,1,30,0.0,25,192,1.77,2.6666666666666665,3.0,4.9,4.89,4.88,4.95,4.94,5.0,4.85
10586558,253.33,Entire home/apt,Entire rental unit,4,2.0,2.0,1.0,"Nicosia, Cyprus",ΓΟΥΔΙ,37.9836659,23.7608038,2,365,0.0,29,7,0.35,,,4.86,4.86,4.86,4.86,4.86,4.86,4.71
10806105,216.08,Entire home/apt,Entire rental unit,2,0.0,1.0,1.0,"Athens, Greece",ΣΤΑΔΙΟ,37.96726,23.73935,2,60,1.0,44,244,2.35,4.0,2.0,4.78,4.86,4.59,4.95,4.96,4.84,4.87
10890756,193.73,Entire home/apt,Entire rental unit,2,1.0,2.0,1.0,"Athens, Greece",ΖΑΠΠΕΙΟ,37.96671,23.73459,2,30,0.0,34,324,3.03,4.6,5.0,4.69,4.77,4.64,4.89,4.94,4.79,4.78
11901130,245.88,Entire home/apt,Entire condo,2,1.0,1.0,1.0,"Athens, Greece",ΑΚΡΟΠΟΛΗ,37.973023,23.7194696,2,1125,,40,14,0.52,,,4.93,4.79,5.0,4.79,4.86,4.93,4.93
11979262,499.22,Entire home/apt,Entire rental unit,5,2.0,5.0,1.0,"Athens, Greece",ΓΟΥΒΑ,37.96151,23.74315,3,29,1.0,56,154,1.89,,,4.94,4.94,4.96,4.99,4.97,4.82,4.94
12131708,201.18,Entire home/apt,Entire guesthouse,2,0.0,1.0,1.0,"Athens, Greece",ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96342,23.72027,1,60,1.0,39,233,2.25,5.0,1.0,4.96,4.97,4.97,4.97,5.0,4.84,4.92
12165789,953.73,Entire home/apt,Entire villa,8,4.0,5.0,3.5,"Athens, Greece",ΑΚΡΟΠΟΛΗ,37.96408081054688,23.71773338317871,2,30,1.0,53,144,1.36,,,4.94,4.9,4.81,4.94,4.96,4.74,4.79
12266573,432.16,Entire home/apt,Entire rental unit,8,2.0,2.0,1.5,"Athens, Greece",ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98404,23.7233,1,1125,0.0,33,24,0.23,,,4.46,4.74,4.13,5.0,5.0,4.61,4.39
12333241,320.39,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,"Athens, Greece",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97686,23.72573,2,300,1.0,28,619,5.89,5.0,4.0,4.95,4.96,4.98,4.97,4.98,4.95,4.94
12489380,618.43,Entire home/apt,Entire condo,6,2.0,3.0,1.5,"Athens, Greece",ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9673154,23.7262569,1,59,1.0,63,105,4.39,,,4.98,5.0,4.99,4.99,5.0,4.99,4.97
12525342,394.9,Entire home/apt,Entire rental unit,6,2.0,4.0,2.0,"Athens, Greece",ΝΕΟΣ ΚΟΣΜΟΣ,37.96622,23.7318,2,1125,0.0,18,7,0.12,,,4.86,4.86,4.57,5.0,5.0,4.57,5.0
12722089,402.35,Entire home/apt,Entire rental unit,4,1.0,1.0,1.0,"Athens, Greece",ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96276,23.72078,1,59,0.0,49,195,1.93,5.0,1.0,4.84,4.88,4.83,4.93,4.96,4.82,4.82
12893692,178.82,Entire home/apt,Entire rental unit,5,1.0,1.0,1.0,"Athens, Greece",ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,37.99866,23.72045,10,1125,0.0,33,108,1.06,4.5,2.0,4.54,4.69,4.61,4.81,4.78,4.61,4.67
12948824,320.39,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,"Athens, Greece",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97486,23.72639,2,1125,1.0,16,578,5.61,4.625,8.0,4.94,4.94,4.95,4.97,4.97,4.98,4.92
13035089,625.88,Private room,Room in aparthotel,4,1.0,1.0,1.0,"Athens, Greece",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97777938842773,23.73192024230957,1,1125,0.0,39,92,0.9,,,4.76,4.84,4.86,4.84,4.87,4.93,4.83
13121121,536.47,Entire home/apt,Entire condo,6,2.0,3.0,2.0,"Athens, Greece",ΒΟΤΑΝΙΚΟΣ,37.97873,23.70794,1,1125,0.0,40,287,2.77,3.0,3.0,4.68,4.67,4.83,4.88,4.86,4.62,4.59
13169260,633.33,Entire home/apt,Entire condo,4,2.0,2.0,2.0,"Athens, Greece",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97148,23.73204,2,1125,1.0,45,72,0.71,4.5,2.0,4.9,4.92,4.89,4.94,4.97,4.96,4.86
13188948,342.75,Entire home/apt,Entire condo,6,3.0,4.0,1.5,"Athens, Greece",ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98315,23.71739,5,730,1.0,63,154,1.5,,,4.97,4.95,4.92,4.99,4.99,4.76,4.91
13349627,387.45,Entire home/apt,Entire rental unit,4,2.0,2.0,1.5,"Athens, Greece",ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96397,23.71963,3,1125,0.0,47,14,0.14,5.0,1.0,4.21,4.21,4.5,4.64,4.5,4.86,4.29
13485485,141.57,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,Greece,ΠΕΤΡΑΛΩΝΑ,37.97061,23.71028,1,1125,0.0,31,379,3.66,4.0,4.0,4.53,4.6,4.39,4.9,4.92,4.7,4.64
13521853,305.49,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,"Psychiko, Greece",ΚΟΛΩΝΑΚΙ,37.97921,23.74429,4,60,0.0,22,61,0.62,,,4.87,4.89,4.85,4.88,4.89,4.88,4.73
13874631,439.61,Entire home/apt,Entire rental unit,4,1.0,2.0,1.0,"Athens, Greece",ΣΤΑΔΙΟ,37.96674,23.73673,3,1125,1.0,56,199,1.96,4.25,4.0,4.94,4.97,4.97,5.0,4.96,4.89,4.94
13876561,223.53,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,"Athens, Greece",ΣΤΑΔΙΟ,37.96597,23.74498,2,1125,0.0,26,12,0.12,,,5.0,4.92,5.0,5.0,5.0,5.0,4.92
13877247,245.88,Entire home/apt,Entire rental unit,3,1.0,2.0,1.0,"Athens, Greece",ΠΑΓΚΡΑΤΙ,37.96653,23.75432,2,1125,0.0,27,9,0.15,,,4.78,4.78,4.56,5.0,4.78,4.89,4.78
14018934,96.86,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,"Athens, Greece",ΚΥΨΕΛΗ,37.99887,23.73926,2,1125,1.0,32,74,0.74,5.0,1.0,4.81,4.92,4.81,4.89,4.99,4.66,4.89
14170111,402.35,Entire home/apt,Entire home,6,2.0,5.0,1.0,"Athens, Greece",ΘΗΣΕΙΟ,37.97508,23.71642,2,1125,1.0,24,225,2.22,4.75,4.0,4.78,4.78,4.79,4.93,4.92,4.91,4.79
14287680,201.18,Entire home/apt,Entire condo,3,1.0,2.0,1.0,"Athens, Greece",ΝΕΟΣ ΚΟΣΜΟΣ,37.9613,23.73097,1,1125,1.0,49,578,5.66,4.777777777777778,9.0,4.83,4.92,4.85,4.92,4.97,4.69,4.83
14414976,536.47,Entire home/apt,Entire rental unit,6,2.0,2.0,2.0,"Athens, Greece",ΒΟΤΑΝΙΚΟΣ,37.97952,23.71003,1,1125,0.0,43,168,1.66,3.0,5.0,4.64,4.55,4.73,4.9,4.84,4.69,4.51
14480359,640.78,Entire home/apt,Entire rental unit,4,2.0,4.0,1.0,"Athens, Greece",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97408,23.73294,3,1125,1.0,41,300,2.95,5.0,3.0,5.0,4.99,5.0,5.0,5.0,4.98,4.95
14745319,223.53,Entire home/apt,Entire rental unit,3,2.0,,,"Athens, Greece",ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98632,23.73165,2,299,1.0,67,137,1.41,5.0,2.0,4.91,4.93,4.87,4.99,4.98,4.86,4.82
14783890,499.22,Entire home/apt,Entire rental unit,6,3.0,5.0,2.0,"Philadelphia, PA",ΙΛΙΣΙΑ,37.97733,23.75653,5,1125,1.0,47,6,0.18,,,5.0,5.0,5.0,5.0,5.0,5.0,4.83
15637260,141.57,Entire home/apt,Entire condo,2,1.0,1.0,1.0,Greece,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98998,23.73564,1,364,0.0,48,106,1.07,5.0,2.0,4.84,4.81,4.89,4.95,4.88,4.7,4.8
