iter	Quantile:alpha=0.5
0	67.55060605
1	64.69873452
2	62.3076476
3	59.75217196
4	57.61736483
5	55.50871568
6	53.41999357
7	51.94092949
8	50.1941081
9	48.34926127
10	46.91170984
11	45.68728971
12	44.09848809
13	42.68026228
14	41.16907011
15	40.04279659
16	38.81277254
17	37.79340179
18	36.81519057
19	35.5299418
20	34.79109008
21	33.81631995
22	33.00336314
23	32.01827687
24	31.02554224
25	30.29873974
26	29.65249225
27	28.84835992
28	27.95238982
29	27.15849315
30	26.52962238
31	25.73604374
32	25.07746803
33	24.47867628
34	23.8979086
35	23.46150248
36	22.9272564
37	22.32841224
38	21.96383055
39	21.52190637
40	21.11868949
41	20.6855654
42	20.29051737
43	20.11307166
44	19.8409614
45	19.48203669
46	19.17547067
47	18.92175868
48	18.66895877
49	18.34883305
50	18.14916157
51	17.81350796
52	17.58072069
53	17.31756299
54	17.06547448
55	16.79332968
56	16.54678091
57	16.3590623
58	16.16363777
59	16.00422661
60	15.84257929
61	15.64332446
62	15.48332925
63	15.34140102
64	15.24405365
65	15.10949669
66	15.00865522
67	14.90382504
68	14.71537427
69	14.55635666
70	14.41529461
71	14.31966313
72	14.19849775
73	14.02453489
74	13.87821561
75	13.74888535
76	13.69280762
77	13.61246455
78	13.53348624
79	13.45859899
80	13.36349487
81	13.18813844
82	13.06507825
83	12.98654245
84	12.92505697
85	12.86660908
86	12.79792005
87	12.74236322
88	12.65788523
89	12.60635447
90	12.56625366
91	12.54258104
92	12.46267974
93	12.40327765
94	12.32651885
95	12.26813897
96	12.2266569
97	12.18690931
98	12.15337197
99	12.09330295
100	12.01605617
101	11.92675223
102	11.86191087
103	11.76334448
104	11.6259288
105	11.44975348
106	11.35020053
107	11.29840739
108	11.2222044
109	11.16030839
110	11.08384263
111	11.06684864
112	11.0089717
113	10.95681177
114	10.92862432
115	10.89945144
116	10.84514289
117	10.81738914
118	10.77717153
119	10.6706411
120	10.63254615
121	10.59307994
122	10.53892214
123	10.49128122
124	10.36765201
125	10.33957057
126	10.27560952
127	10.24881254
128	10.21446201
129	10.15574589
130	10.11541952
131	10.09864655
132	10.0627371
133	9.943303405
134	9.902425792
135	9.878847839
136	9.812319845
137	9.769120788
138	9.730364223
139	9.677517476
140	9.621672297
141	9.547616453
142	9.500588773
143	9.400064982
144	9.349026185
145	9.292085021
146	9.229195435
147	9.181775962
148	9.152300628
149	9.136282659
150	9.061246842
151	9.025459506
152	8.983593792
153	8.959933908
154	8.929864645
155	8.918830655
156	8.894532274
157	8.875400142
158	8.799730669
159	8.768427385
160	8.713042772
161	8.681263635
162	8.64356567
163	8.617394242
164	8.508361478
165	8.454582489
166	8.444980028
167	8.400951088
168	8.351846272
169	8.302541479
170	8.277200975
171	8.25095433
172	8.246259471
173	8.20615169
174	8.184264769
175	8.153878139
176	8.129560013
177	8.093849762
178	8.072301807
179	8.059396369
180	8.034574299
181	7.999415042
182	7.969969607
183	7.936803285
184	7.929201033
185	7.905066826
186	7.880859915
187	7.846635546
188	7.830845448
189	7.814510386
190	7.789698064
191	7.76542363
192	7.704111377
193	7.665229246
194	7.649356719
195	7.621286906
196	7.564032546
197	7.538437045
198	7.521463353
199	7.492147063
200	7.471979146
201	7.44817724
202	7.434680216
203	7.420144933
204	7.397874297
205	7.387726719
206	7.35916651
207	7.337877501
208	7.332778951
209	7.297588082
210	7.28935241
211	7.283088789
212	7.258393395
213	7.240846157
214	7.215108354
215	7.199388249
216	7.185372986
217	7.172413782
218	7.12268854
219	7.10128299
220	7.091512893
221	7.086022998
222	7.069421973
223	7.056149314
224	7.049942419
225	7.038505059
226	7.005529687
227	6.995964236
228	6.960486074
229	6.953725128
230	6.935307609
231	6.923111282
232	6.9089806
233	6.891041048
234	6.882343622
235	6.860464215
236	6.848947585
237	6.831643263
238	6.82347586
239	6.812400306
240	6.801419264
241	6.786672881
242	6.77775226
243	6.715733072
244	6.709508931
245	6.698540244
246	6.683033754
247	6.668742067
248	6.654271325
249	6.636573632
250	6.627531855
251	6.605045228
252	6.587649298
253	6.583118068
254	6.569795179
255	6.560018308
256	6.553001056
257	6.540050432
258	6.531824483
259	6.52389877
260	6.51073471
261	6.49725571
262	6.481538915
263	6.476825398
264	6.467311331
265	6.451941351
