iter	Passed	Remaining
0	117	293023
1	238	298302
2	266	221435
3	273	170691
4	278	139144
5	280	116789
6	283	100861
7	286	89125
8	289	80202
9	291	72630
10	294	66742
11	297	61641
12	299	57311
13	303	53819
14	306	50696
15	308	47903
16	310	45396
17	313	43187
18	315	41217
19	317	39392
20	319	37729
21	322	36304
22	324	34911
23	326	33680
24	328	32542
25	330	31449
26	332	30497
27	336	29738
28	340	29017
29	346	28561
30	349	27825
31	352	27167
32	356	26650
33	359	26095
34	364	25669
35	368	25205
36	371	24755
37	375	24297
38	377	23851
39	381	23441
40	383	23009
41	385	22588
42	389	22229
43	389	21756
44	391	21381
45	395	21112
46	398	20780
47	400	20481
48	403	20177
49	405	19871
50	408	19620
51	411	19356
52	413	19070
53	416	18855
54	436	19392
55	442	19313
56	452	19410
57	456	19227
58	461	19072
59	468	19072
60	474	18991
61	478	18827
62	486	18808
63	491	18726
64	497	18620
65	498	18399
66	512	18618
67	522	18698
68	531	18716
69	538	18680
70	556	19036
71	574	19367
72	584	19441
73	591	19377
74	602	19474
75	615	19620
76	643	20251
77	653	20298
78	663	20339
79	703	21295
80	802	23962
81	833	24592
82	868	25291
83	884	25430
84	891	25332
85	899	25249
86	901	25008
87	914	25053
88	924	25049
89	960	25715
90	967	25601
91	989	25900
92	999	25857
93	1007	25794
94	1011	25610
95	1014	25404
96	1024	25388
97	1042	25560
98	1049	25461
99	1057	25369
100	1060	25195
101	1063	24994
102	1071	24929
103	1073	24739
104	1080	24645
105	1088	24579
106	1091	24406
107	1093	24226
108	1098	24086
109	1105	24011
110	1107	23828
111	1109	23649
112	1112	23499
113	1114	23326
114	1121	23250
115	1123	23096
116	1130	23020
117	1138	22973
118	1144	22903
119	1156	22945
120	1159	22793
121	1164	22698
122	1171	22641
123	1174	22496
124	1177	22374
125	1180	22237
126	1185	22158
127	1188	22024
128	1192	21923
129	1195	21791
130	1199	21697
131	1202	21568
132	1210	21541
133	1213	21419
134	1217	21326
135	1219	21205
136	1223	21102
137	1226	20984
138	1231	20917
139	1233	20801
140	1237	20700
141	1239	20586
142	1242	20484
143	1245	20370
144	1250	20306
145	1252	20193
146	1256	20119
147	1258	20006
148	1266	19982
149	1268	19872
150	1272	19789
151	1274	19693
152	1276	19585
153	1282	19535
154	1284	19435
155	1287	19350
156	1290	19257
157	1297	19237
158	1300	19143
159	1302	19054
160	1304	18955
161	1307	18867
162	1309	18775
163	1313	18709
164	1315	18618
165	1318	18534
166	1320	18453
167	1322	18362
168	1326	18290
169	1329	18217
170	1331	18139
171	1333	18053
172	1336	17977
173	1338	17895
174	1342	17831
175	1345	17763
176	1347	17690
177	1349	17609
178	1353	17545
179	1355	17465
180	1357	17386
181	1362	17347
182	1365	17283
183	1367	17214
184	1370	17147
185	1372	17073
186	1377	17032
187	1378	16958
188	1380	16885
189	1382	16812
190	1385	16750
191	1392	16738
192	1400	16743
193	1403	16680
194	1406	16624
195	1411	16593
196	1416	16564
197	1424	16555
198	1426	16496
199	1431	16459
200	1434	16406
201	1438	16367
202	1441	16310
203	1443	16246
204	1446	16194
205	1448	16131
206	1451	16077
207	1454	16030
208	1459	16001
209	1464	15965
210	1467	15918
211	1475	15920
212	1479	15883
213	1482	15831
214	1492	15861
215	1495	15809
216	1499	15773
217	1503	15737
218	1506	15694
219	1509	15648
220	1512	15597
221	1515	15554
222	1520	15522
223	1523	15477
224	1525	15428
225	1529	15389
226	1531	15333
227	1536	15308
228	1538	15255
229	1541	15216
230	1543	15163
231	1546	15119
232	1548	15067
233	1554	15053
234	1557	15015
235	1563	14996
236	1571	15002
237	1580	15019
238	1589	15032
239	1591	14982
240	1594	14946
241	1596	14897
242	1604	14900
243	1607	14867
244	1611	14832
245	1616	14810
246	1619	14769
247	1621	14726
248	1625	14698
249	1628	14655
250	1631	14621
251	1634	14578
252	1637	14542
253	1641	14517
254	1648	14512
255	1653	14491
256	1657	14463
257	1660	14429
258	1664	14403
259	1670	14388
260	1673	14357
261	1675	14314
262	1680	14289
263	1682	14249
264	1685	14217
265	1687	14175
266	1693	14159
267	1695	14119
268	1697	14077
269	1700	14046
270	1704	14015
271	1706	13974
272	1708	13933
273	1714	13928
274	1716	13890
275	1720	13865
276	1722	13826
277	1724	13787
278	1729	13768
279	1733	13740
280	1736	13710
281	1738	13671
282	1742	13650
283	1745	13620
284	1749	13595
285	1751	13557
286	1755	13537
287	1757	13499
288	1762	13481
289	1766	13459
290	1769	13430
291	1772	13399
292	1777	13391
293	1780	13356
294	1784	13337
295	1787	13307
296	1789	13272
297	1795	13268
298	1800	13250
299	1802	13221
300	1805	13192
301	1810	13177
302	1813	13150
303	1817	13125
304	1824	13127
305	1829	13118
306	1832	13090
307	1835	13063
308	1838	13039
309	1845	13039
310	1850	13028
311	1853	12995
312	1860	13002
313	1865	12985
314	1867	12953
315	1869	12921
316	1874	12908
317	1876	12874
318	1880	12853
319	1882	12822
320	1884	12790
321	1887	12767
322	1889	12736
323	1892	12711
324	1894	12678
325	1897	12656
326	1900	12630
327	1902	12599
328	1906	12578
329	1908	12551
330	1911	12525
331	1913	12495
332	1916	12473
333	1918	12443
334	1922	12422
335	1924	12392
336	1928	12379
337	1932	12358
338	1935	12337
339	1939	12319
340	1942	12299
341	1944	12270
342	1947	12250
343	1949	12221
344	1954	12208
345	1956	12180
346	1960	12165
347	1962	12137
348	1966	12117
349	1968	12090
350	1971	12070
351	1974	12049
352	1977	12026
353	1979	11999
354	1982	11977
355	1984	11950
356	1988	11935
357	1991	11912
358	1994	11897
359	1997	11872
360	2002	11867
361	2005	11844
362	2008	11826
363	2011	11802
364	2015	11788
365	2019	11775
366	2023	11758
367	2025	11733
368	2029	11719
369	2031	11694
370	2035	11681
371	2037	11656
372	2041	11642
373	2051	11660
374	2059	11668
375	2064	11661
376	2076	11693
377	2084	11701
378	2090	11701
379	2101	11726
380	2108	11726
381	2118	11747
382	2126	11755
383	2136	11773
384	2144	11782
385	2155	11806
386	2173	11867
387	2188	11913
388	2200	11942
389	2209	11953
390	2218	11965
391	2225	11968
392	2241	12016
393	2270	12136
394	2273	12117
395	2284	12138
396	2287	12117
397	2290	12097
398	2304	12132
